method,n_subjects,mean_accuracy,worst_accuracy,accept_rate,mean_delta_vs_ea,neg_transfer_rate_vs_ea
ea-csp-lda,14,0.5843929188891063,0.3568181818181818,,,
ea-fbcsp-lda,14,0.5971143247331332,0.37272727272727274,1.0,0.012721405844026886,0.2857142857142857
ea-fbcsp-pred-disagree-safe,14,0.6111540804328766,0.3568181818181818,0.5,0.026761161543770236,0.0
fbcsp-lda,14,0.4506276716256025,0.25975473801560756,,-0.13376524726350383,0.7857142857142857
rpa-csp-lda,14,0.504872506648037,0.32386363636363635,,-0.07952041224106932,1.0
tsa-csp-lda,14,0.41043139166552095,0.2318181818181818,,-0.17396152722358535,1.0
