method,n_subjects,mean_accuracy,std_accuracy,worst_accuracy,mean_kappa,std_kappa,worst_kappa,mean_delta_vs_baseline,delta_ci95_low,delta_ci95_high,neg_transfer_rate_vs_baseline,n_pos,n_neg,n_zero,p_wilcoxon_two_sided,p_wilcoxon_greater,p_sign_greater,accept_rate,p_wilcoxon_two_sided_holm,p_sign_greater_holm
ea-stack-multi-safe-csp-lda,9,0.7330246913580247,0.1441750589269797,0.5208333333333334,0.4660493827160494,0.2883501178539595,0.04166666666666663,0.0007716049382716022,0.0,0.0023148148148148064,0.0,1,0,8,1.0,0.5,0.5,0.1111111111111111,1.0,1.0
ea-csp-lda,9,0.7322530864197531,0.14346250400320523,0.5208333333333334,0.4645061728395061,0.2869250080064105,0.04166666666666663,0.0,0.0,0.0,0.0,0,0,9,,,,,,
lea-csp-lda,9,0.7283950617283951,0.1500483961136168,0.4930555555555556,0.45679012345679015,0.3000967922272336,-0.01388888888888884,-0.003858024691358011,-0.016203703703703696,0.008487654320987685,0.3333333333333333,2,3,4,0.625,0.78125,0.8125,,1.0,1.0
rpa-mdm,9,0.726851851851852,0.10376078331586067,0.5625,0.45370370370370366,0.2075215666317213,0.125,-0.005401234567901203,-0.039351851851851825,0.027777777777777776,0.5555555555555556,4,5,0,0.91015625,0.58984375,0.74609375,,1.0,1.0
ea-fbcsp-lda,9,0.7152777777777778,0.09888215879095931,0.5625,0.4305555555555555,0.19776431758191862,0.125,-0.01697530864197531,-0.05324074074074075,0.016975308641975297,0.4444444444444444,4,4,1,0.546875,0.76953125,0.63671875,,1.0,1.0
rpa-ts-lr,9,0.6998456790123456,0.12494104405288944,0.5486111111111112,0.39969135802469136,0.24988208810577892,0.09722222222222221,-0.03240740740740738,-0.06558641975308638,0.001543209876543229,0.7777777777777778,1,7,1,0.078125,0.97265625,0.99609375,,0.51953125,1.0
fbcsp-lda,9,0.6929012345679013,0.11509658711521065,0.5625,0.38580246913580246,0.2301931742304213,0.125,-0.03935185185185183,-0.10802469135802466,0.006944444444444432,0.5555555555555556,1,5,3,0.21875,0.921875,0.984375,,1.0,1.0
csp-lda,9,0.6743827160493827,0.17160101775208914,0.4305555555555556,0.3487654320987654,0.34320203550417827,-0.13888888888888884,-0.057870370370370364,-0.10416666666666669,-0.013117283950617262,0.7777777777777778,2,7,0,0.07421875,0.97265625,0.98046875,,0.51953125,1.0
ts-lr,9,0.6381172839506173,0.11221481151426686,0.4861111111111111,0.2762345679012346,0.22442962302853373,-0.02777777777777768,-0.0941358024691358,-0.1388888888888889,-0.05015432098765433,0.8888888888888888,1,8,0,0.0078125,0.998046875,0.998046875,,0.0625,1.0
riemann-mdm,9,0.5717592592592593,0.0656057070405944,0.5,0.1435185185185185,0.13121141408118878,0.0,-0.1604938271604938,-0.22685185185185183,-0.09182098765432102,1.0,0,9,0,0.00390625,1.0,1.0,,0.03515625,1.0
