subject,id_acc,sel_acc,oracle_acc,gap_sel,best_score_acc,gap_score,best_ev_acc,gap_ev,best_probe_acc,gap_probe,best_probe_hard_acc,gap_probe_hard,best_iwcv_acc,gap_iwcv,best_iwcv_ucb_acc,gap_iwcv_ucb,best_dev_acc,gap_dev,best_ridge_acc,gap_ridge,best_guard_acc,gap_guard,best_bandit_acc,gap_bandit,rho_score,rho_ev,rho_probe,rho_probe_hard,rho_iwcv,rho_iwcv_ucb,rho_dev,rho_ridge,rho_guard,rho_bandit,neg_transfer
1,0.6875,0.6875,0.7048611111111112,0.01736111111111116,0.6736111111111112,0.03125,0.6909722222222222,0.01388888888888895,0.6736111111111112,0.03125,0.6736111111111112,0.03125,,,,,,,0.7013888888888888,0.003472222222222321,0.7013888888888888,0.003472222222222321,,,0.06666666666666665,0.5393939393939393,-0.4424242424242424,-0.34545454545454546,,,,0.406060606060606,0.7696969696969697,,0.0
2,0.2569444444444444,0.256944,0.2881944444444444,0.031250444444444414,0.2881944444444444,0.0,0.2604166666666667,0.027777777777777735,0.2881944444444444,0.0,0.2881944444444444,0.0,,,,,,,0.2534722222222222,0.03472222222222221,0.2534722222222222,0.03472222222222221,,,0.19999999999999998,-0.6242424242424242,0.3696969696969697,-0.006060606060606061,,,,-0.18787878787878787,-0.3939393939393939,,0.0
3,0.75,0.802083,0.8020833333333334,3.33333333379926e-07,0.7152777777777778,0.08680555555555558,0.7048611111111112,0.09722222222222221,0.7847222222222222,0.01736111111111116,0.8020833333333334,0.0,,,,,,,0.8020833333333334,0.0,0.8020833333333334,0.0,,,0.6969696969696969,-0.6848484848484848,0.6969696969696969,0.8424242424242423,,,,0.7212121212121211,0.7212121212121211,,0.0
4,0.4513888888888889,0.451389,0.4652777777777778,0.013888777777777805,0.4652777777777778,0.0,0.4583333333333333,0.006944444444444475,0.4652777777777778,0.0,0.4652777777777778,0.0,,,,,,,0.40625,0.05902777777777779,0.40625,0.05902777777777779,,,0.22424242424242422,0.09090909090909088,0.29696969696969694,0.13939393939393938,,,,-0.6727272727272726,-0.7818181818181817,,0.0
5,0.3090277777777778,0.340278,0.3402777777777778,-2.2222222223478028e-07,0.3194444444444444,0.02083333333333337,0.3090277777777778,0.03125,0.3298611111111111,0.010416666666666685,0.3194444444444444,0.02083333333333337,,,,,,,0.3402777777777778,0.0,0.3368055555555556,0.00347222222222221,,,-0.33333333333333326,0.28484848484848485,-0.32121212121212117,-0.0303030303030303,,,,0.8909090909090909,0.7212121212121211,,0.0
6,0.3576388888888889,0.357639,0.4270833333333333,0.06944433333333333,0.4270833333333333,0.0,0.4027777777777778,0.024305555555555525,0.3923611111111111,0.03472222222222221,0.3923611111111111,0.03472222222222221,,,,,,,0.4270833333333333,0.0,0.3576388888888889,0.06944444444444442,,,0.38181818181818183,0.2727272727272727,0.5757575757575757,0.7575757575757575,,,,0.32121212121212117,0.1515151515151515,,0.0
7,0.5729166666666666,0.59375,0.6006944444444444,0.00694444444444442,0.5659722222222222,0.03472222222222221,0.5277777777777778,0.07291666666666663,0.5659722222222222,0.03472222222222221,0.5659722222222222,0.03472222222222221,,,,,,,0.59375,0.00694444444444442,0.6006944444444444,0.0,,,0.5272727272727272,-0.6606060606060605,0.5636363636363636,0.5515151515151515,,,,0.6606060606060605,0.709090909090909,,0.0
8,0.71875,0.75,0.75,0.0,0.7083333333333334,0.04166666666666663,0.6701388888888888,0.07986111111111116,0.6979166666666666,0.05208333333333337,0.75,0.0,,,,,,,0.6979166666666666,0.05208333333333337,0.75,0.0,,,0.8181818181818182,-0.19999999999999998,0.309090909090909,0.7696969696969697,,,,0.5878787878787878,0.5515151515151515,,0.0
9,0.6840277777777778,0.684028,0.6840277777777778,-2.2222222217926912e-07,0.5868055555555556,0.09722222222222221,0.5868055555555556,0.09722222222222221,0.5868055555555556,0.09722222222222221,0.5868055555555556,0.09722222222222221,,,,,,,0.5868055555555556,0.09722222222222221,0.6041666666666666,0.07986111111111116,,,0.04242424242424241,0.17575757575757575,0.49090909090909085,-0.13939393939393938,,,,0.406060606060606,0.24848484848484845,,0.0
