run_tag,run_dir,mean_acc_ea,mean_acc_ours,mean_delta_vs_ea,worst_acc_ea,worst_acc_ours,neg_transfer_rate_vs_ea,accept_rate,cert_improve_spearman,guard_improve_spearman
strict_delta (no min_pred),outputs/20260116/4class/loso4_bnci_strict_stackdelt_v1,0.5320216049382716,0.5486111111111112,0.0165895061728395,0.2569444444444444,0.2534722222222222,0.1111111111111111,0.6666666666666666,0.6166666666666666,0.45
strict_delta + min_pred=0.02,outputs/20260116/4class/loso4_bnci_strict_stackdelt_minpred002_v1,0.5320216049382716,0.5470679012345679,0.0150462962962963,0.2569444444444444,0.2569444444444444,0.0,0.4444444444444444,0.8333333333333333,0.7833333333333333
