method,n_subjects,mean_accuracy,std_accuracy,worst_accuracy,mean_kappa,std_kappa,worst_kappa,mean_delta_vs_baseline,delta_ci95_low,delta_ci95_high,neg_transfer_rate_vs_baseline,n_pos,n_neg,n_zero,p_wilcoxon_two_sided,p_wilcoxon_greater,p_sign_greater,accept_rate,p_wilcoxon_two_sided_holm,p_sign_greater_holm
ea-csp-lda,14,0.5843929188891063,0.12525992861606403,0.3568181818181818,0.44584919168095727,0.16702482238537786,0.14242424242424245,0.0,0.0,0.0,0.0,0,0,14,,,,,,
ea-stack-multi-safe-csp-lda,14,0.5767630487592362,0.14228465529332207,0.25,0.4356760315077971,0.18972260804976698,0.0,-0.00762987012987013,-0.022889610389610387,0.0,0.07142857142857142,0,1,13,1.0,1.0,1.0,0.0714285714285714,1.0,1.0
rpa-csp-lda,14,0.504872506648037,0.09437159257323896,0.32386363636363635,0.3398154882736247,0.125866325970001,0.09848484848484851,-0.07952041224106932,-0.1076432557281548,-0.05156961544708972,1.0,0,14,0,0.0001220703125,1.0,1.0,,0.00048828125,1.0
csp-lda,14,0.4109824993015229,0.16210410017896598,0.25,0.2148344447811989,0.21599294958391624,0.0,-0.1734104195875834,-0.23531196421463196,-0.11783032859724375,1.0,0,14,0,0.0001220703125,1.0,1.0,,0.00048828125,1.0
tsa-csp-lda,14,0.41043139166552095,0.11926511035208419,0.2318181818181818,0.2139881179373075,0.15895631951309047,-0.024242424242424176,-0.17396152722358535,-0.2282175814689666,-0.12451782531355945,1.0,0,14,0,0.0001220703125,1.0,1.0,,0.00048828125,1.0
