method,n_subjects,mean_accuracy,worst_accuracy,accept_rate,mean_delta_vs_ea,neg_transfer_rate_vs_ea
csp-lda,9,0.6257716049382717,0.3958333333333333,,-0.05439814814814817,0.8888888888888888
ea-csp-lda,9,0.6801697530864198,0.4166666666666667,,,
lea-csp-lda,9,0.6828703703703703,0.4236111111111111,,0.0027006172839505954,0.2222222222222222
lea-rot-csp-lda,9,0.6759259259259259,0.4201388888888889,,-0.0042438271604938365,0.5555555555555556
