method,n_subjects,mean_accuracy,std_accuracy,worst_accuracy,mean_kappa,std_kappa,worst_kappa,mean_delta_vs_baseline,delta_ci95_low,delta_ci95_high,neg_transfer_rate_vs_baseline,n_pos,n_neg,n_zero,p_wilcoxon_two_sided,p_wilcoxon_greater,p_sign_greater,accept_rate,p_wilcoxon_two_sided_holm,p_sign_greater_holm
ea-csp-lda,9,0.5320216049382716,0.19158501570887557,0.2569444444444444,0.3760288065843621,0.2554466876118341,0.0092592592592593,0.0,0.0,0.0,0.0,0,0,9,,,,,,
ea-stack-multi-safe-csp-lda,9,0.5320216049382716,0.19158501570887557,0.2569444444444444,0.3760288065843621,0.2554466876118341,0.0092592592592593,0.0,0.0,0.0,0.0,0,0,9,,,,0.0,,
ea-fbcsp-lda,9,0.5057870370370371,0.2010293725851407,0.2569444444444444,0.34104938271604934,0.2680391634468542,0.0092592592592593,-0.026234567901234573,-0.05709876543209876,0.011574074074074058,0.7777777777777778,2,7,0,0.12890625,0.951171875,0.98046875,,0.2578125,1.0
tsa-ts-svc,9,0.4891975308641976,0.16509900429740074,0.2847222222222222,0.31893004115226337,0.22013200572986766,0.04629629629629628,-0.04282407407407405,-0.08641975308641972,0.002314814814814831,0.7777777777777778,2,7,0,0.12890625,0.951171875,0.98046875,,0.2578125,1.0
ts-svc,9,0.3364197530864198,0.07192707378837661,0.2361111111111111,0.11522633744855965,0.09590276505116882,-0.0185185185185186,-0.19560185185185186,-0.27122878086419755,-0.11689814814814814,1.0,0,9,0,0.00390625,1.0,1.0,,0.015625,1.0
fgmdm,9,0.3360339506172839,0.07147166458328712,0.25,0.1147119341563786,0.09529555277771619,0.0,-0.19598765432098766,-0.28163580246913583,-0.11033950617283952,0.8888888888888888,1,8,0,0.0078125,0.998046875,0.998046875,,0.0234375,1.0
