global_min_pred_improve,n_subjects,mean_accuracy,worst_accuracy,accept_rate,mean_delta_vs_ea,neg_transfer_rate_vs_ea,oracle_mean_accuracy,oracle_mean_gap,selected_family_counts
0.0,9,0.5486111111111112,0.2534722222222222,0.6666666666666666,0.01658950617283952,0.1111111111111111,0.5532407407407408,0.004629629629629626,chan:5;ea:3;rpa:1
0.005,9,0.5466820987654322,0.2534722222222222,0.5555555555555556,0.014660493827160503,0.1111111111111111,0.5513117283950618,0.004629629629629626,chan:4;ea:4;rpa:1
0.01,9,0.5466820987654322,0.2534722222222222,0.5555555555555556,0.014660493827160503,0.1111111111111111,0.5513117283950618,0.004629629629629626,chan:4;ea:4;rpa:1
0.015,9,0.5466820987654322,0.2534722222222222,0.5555555555555556,0.014660493827160503,0.1111111111111111,0.5513117283950618,0.004629629629629626,chan:4;ea:4;rpa:1
0.02,9,0.5470679012345679,0.2569444444444444,0.4444444444444444,0.015046296296296304,0.0,0.5478395061728396,0.0007716049382716022,chan:3;ea:5;rpa:1
0.03,9,0.5435956790123457,0.2569444444444444,0.3333333333333333,0.011574074074074082,0.0,0.5443672839506174,0.0007716049382716022,chan:3;ea:6
0.05,9,0.5320216049382716,0.2569444444444444,0.0,0.0,0.0,0.5320216049382716,0.0,ea:9
0.08,9,0.5320216049382716,0.2569444444444444,0.0,0.0,0.0,0.5320216049382716,0.0,ea:9
