,acc_ea-csp-lda,kappa_ea-csp-lda,delta_acc_vs_ea-csp-lda_ea-csp-lda,acc_ea-fbcsp-lda,kappa_ea-fbcsp-lda,delta_acc_vs_ea-csp-lda_ea-fbcsp-lda,acc_ea-stack-multi-safe-csp-lda,kappa_ea-stack-multi-safe-csp-lda,delta_acc_vs_ea-csp-lda_ea-stack-multi-safe-csp-lda
1,0.575,0.43333333333333335,0.0,0.6375,0.5166666666666666,0.0625,0.6375,0.5166666666666666,0.0625
2,0.5043050430504306,0.33890435835351096,0.0,0.6125461254612546,0.4831146131458165,0.10824108241082409,0.6125461254612546,0.4831146131458165,0.10824108241082409
3,0.5625,0.41666666666666663,0.0,0.5875,0.44999999999999996,0.025000000000000022,0.5875,0.44999999999999996,0.025000000000000022
4,0.6956521739130435,0.5942743342451409,0.0,0.7235228539576366,0.6313211918718832,0.027870680044593144,0.7235228539576366,0.6313211918718832,0.027870680044593144
5,0.5916666666666667,0.4555555555555556,0.0,0.6930555555555555,0.5907407407407408,0.10138888888888886,0.6930555555555555,0.5907407407407408,0.10138888888888886
6,0.4340909090909091,0.24545454545454548,0.0,0.49886363636363634,0.3318181818181818,0.06477272727272726,0.49886363636363634,0.3318181818181818,0.06477272727272726
7,0.55,0.4,0.0,0.6227272727272727,0.49696969696969695,0.07272727272727264,0.6227272727272727,0.49696969696969695,0.07272727272727264
8,0.7614678899082569,0.681942314167072,0.0,0.636085626911315,0.5146991422772214,-0.12538226299694188,0.636085626911315,0.5146991422772214,-0.12538226299694188
9,0.3568181818181818,0.14242424242424245,0.0,0.38181818181818183,0.17575757575757578,0.025000000000000022,0.3568181818181818,0.14242424242424245,0.0
10,0.5875,0.44999999999999996,0.0,0.6556818181818181,0.5409090909090909,0.06818181818181812,0.6556818181818181,0.5409090909090909,0.06818181818181812
11,0.48863636363636365,0.31818181818181823,0.0,0.5,0.33333333333333337,0.011363636363636354,0.5,0.33333333333333337,0.011363636363636354
12,0.8079545454545455,0.7439393939393939,0.0,0.7875,0.7166666666666667,-0.020454545454545503,0.7875,0.7166666666666667,-0.020454545454545503
13,0.55,0.4,0.0,0.49625,0.32833333333333337,-0.05375000000000002,0.49625,0.32833333333333337,-0.05375000000000002
14,0.7159090909090909,0.6212121212121212,0.0,0.6,0.4666666666666667,-0.11590909090909096,0.7159090909090909,0.6212121212121212,0.0
