anchor_guard_delta,n_subjects,mean_accuracy,worst_accuracy,accept_rate,mean_delta_vs_ea,neg_transfer_rate_vs_ea,oracle_mean_accuracy,oracle_mean_gap,selected_family_counts
0.0,9,0.5493827160493826,0.2534722222222222,0.7777777777777778,0.017361111111111112,0.1111111111111111,0.5625,0.013117283950617294,chan:5;ea:2;rpa:2
0.01,9,0.5497685185185185,0.2569444444444444,0.6666666666666666,0.017746913580246913,0.0,0.5597993827160495,0.010030864197530872,chan:4;ea:3;rpa:2
0.03,9,0.5497685185185185,0.2569444444444444,0.6666666666666666,0.017746913580246913,0.0,0.5597993827160495,0.010030864197530872,chan:4;ea:3;rpa:2
0.05,9,0.5497685185185185,0.2569444444444444,0.6666666666666666,0.017746913580246913,0.0,0.5597993827160495,0.010030864197530872,chan:4;ea:3;rpa:2
0.07,9,0.5497685185185185,0.2569444444444444,0.6666666666666666,0.017746913580246913,0.0,0.5597993827160495,0.010030864197530872,chan:4;ea:3;rpa:2
0.1,9,0.5497685185185185,0.2569444444444444,0.6666666666666666,0.017746913580246913,0.0,0.5597993827160495,0.010030864197530872,chan:4;ea:3;rpa:2
